country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,rgdpe_emp,rgdpe_h,rgdpe_emp_cagr_2012_2017,wb_region,wb_gini,wb_govexp_1_gdp,wb_govexp_1_constPPP,wb_govexp_2_gdp,wb_govexp_2_constPPP,wb_govexp_3_gdp,wb_govexp_3_constPPP,wb_govexp_12_gdp,wb_govexp_12_constPPP,wb_govexp_123_gdp,wb_govexp_123_constPPP,oecd,oecd_exp_perstud_12p23_public,oecd_exp_perstud_12p2_public,oecd_exp_perstud_3_public,oecd_exp_perstud_12p23_private,oecd_exp_perstud_12p2_private,oecd_exp_perstud_3_private,oecd_exp_gdp_12p23_public,oecd_exp_gdp_12p2_public,oecd_exp_gdp_3_public,oecd_exp_gdp_12p23_private,oecd_exp_gdp_12p2_private,oecd_exp_gdp_3_private,oecd_exp_perstud_gdp_12p23,oecd_exp_perstud_gdp_12p2,oecd_exp_perstud_gdp_3,country_considered
DZA,Algeria,3.0021,99.24019,33.536,0.301531723,0.14062,1.85006,44885.92418,,-0.019675097,Middle East & North Africa,27.6,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
ECU,Ecuador,2.3196,98.96361,46.89,0.67253316,0.116669999,2.28047,21383.3373,12.56840977,-0.021116848,Latin America & Caribbean,45.4,1.26954,2507.6654,0.74582,1473.17442,1186147.605,2344197260,2.01536,3980.83982,1186149.62,2344201241,0,,,,,,,,,,,,,,,,0
EGY,Egypt,0.4164,98.56545,58.908,0.234486186,0.172390001,1.58451,34274.27063,,0.018466543,Middle East & North Africa,31.5,1.2677,13400.73141,1.30571,13802.52273,,,2.57341,27203.25414,,,0,,,,,,,,,,,,,,,,1
ERI,Eritrea,1.2814,62.77017,,,0.0101,0.16982,,,,Sub-Saharan Africa,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
ESP,Spain,3.4972,99.2874,71.702,1.746806008,1.737959993,3.65428,90006.14563,53.36868601,0.016789721,Europe & Central Asia,34.7,1.13227,20878.57259,1.56259,28813.41434,0.93431,17228.23483,2.69486,49691.98693,3.62917,66920.22176,1,8202.986034,7946.2808,9116.08918,1901.8612,1219.2227,4330.0132,3.46019573,2.6309202,0.82927553,0.8067101,0.40367029,0.40303981,25.499985,23.129513,33.931774,1
EST,Estonia,3.7493,98.52829,99.872,5.940046353,2.094180012,3.34065,62218.17083,33.51039438,0.016267963,Europe & Central Asia,30.4,1.38034,615.01386,1.31771,587.10672,1.13734,506.74449,2.69805,1202.12058,3.83539,1708.86507,1,8245.52733,7137.46017,12453.9108,700.41302,324.94611,2126.4175,3.8422708,2.7652964,1.0769744,0.34350552,0.12614915,0.21735637,26.415089,22.03459,43.052006,1
ETH,Ethiopia,1.1238,82.04004,14.15,0.061600119,0.01989,0.38829,3343.048835,,0.055167047,Sub-Saharan Africa,35,1.30069,2095.75475,0.85941,1384.73355,2.2672,3653.06673,2.1601,3480.4883,4.4273,7133.55503,0,,,,,,,,,,,,,,,,0
FIN,Finland,3.7632,99.03753,100,7.729007958,3.291260004,4.4409,93790.75261,56.52494844,0.014917646,Europe & Central Asia,27.4,1.34143,3508.32893,2.34534,6133.93693,1.65517,4328.88166,3.68677,9642.26586,5.34194,13971.14752,1,11445.99071,10048.61499,17108.12753,190.73163,84.396561,621.59888,5.0343722,3.5955192,1.438853,0.08513115,0.03021316,0.05491799,24.513519,21.345852,37.348827,1
FJI,Fiji,2.5304,99.23096,70.7,0.677273338,0.295759997,,22146.77716,,0.021457614,East Asia & Pacific,36.7,1.49894,147.86976,0.66539,61.80051,0.8761,86.42623,2.16433,209.67027,3.04043,296.0965,0,,,,,,,,,,,,,,,,0
FRA,France,3.5389,99.44524,81.398,2.840452467,1.632670009,2.8615,98713.14069,65.19432201,0.01726918,Europe & Central Asia,31.6,1.157,34678.86509,2.34572,70308.23106,1.22644,36759.97276,3.50272,104987.0962,4.72916,141747.0689,1,10558.65403,9859.340412,13366.93518,1521.1252,1007.283,3584.5967,4.5177366,3.3971268,1.1206098,0.65480991,0.34716258,0.30764733,27.053558,24.336605,37.964211,1
FSM,Micronesia,,88.61882,,,0.146060001,,,,,East Asia & Pacific,40.1,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
GAB,Gabon,2.3202,,51.802,1.058138384,0.087300001,,44839.84628,,-0.057518273,Sub-Saharan Africa,38,0.77961,226.70103,0.7717,224.40002,1.00869,293.31436,1.55131,451.10105,2.56,744.41541,0,,,,,,,,,,,,,,,,0
GBR,United Kingdom,3.2646,99.17265,87.82,4.442844882,2.527370024,2.85459,87201.48938,52.20793152,0.016735979,Europe & Central Asia,34.8,1.73136,50167.60228,2.00571,58116.92649,1.44957,42002.44238,3.73707,108284.5288,5.18664,150286.9712,1,9544.07831,9803.799269,8158.1878,4664.6973,1793.4408,19985.904,4.13104224,3.6359534,0.49508884,2.0561649,0.6657681,1.3903968,31.773075,25.93327,62.934654,1
GEO,Georgia,3.2013,98.55739,95.82572,1.926057376,0.331970003,2.09753,32138.0937,,0.053431045,Europe & Central Asia,36.4,0.65454,275.6952,0.61241,257.94871,0.4122,219.00327,1.26695,533.64391,1.67915,752.64718,0,,,,,,,,,,,,,,,,1
GHA,Ghana,1.3556,93.20759,58.506,0.381729898,0.060800001,0.67478,10416.34959,,0.011249306,Sub-Saharan Africa,43.5,0.9746,1240.62231,1.66116,2114.57593,0.82044,1044.38277,2.63576,3355.19824,3.4562,4399.58101,0,,,,,,,,,,,,,,,,0
GIN,Guinea,1.0831,75.52556,11.7,0.016933001,0.00645,0.57771,6050.455767,,0.03260175,Sub-Saharan Africa,33.7,1.42772,442.82403,0.48458,150.29801,0.4006,124.25013,1.9123,593.12204,2.3129,717.37217,0,,,,,,,,,,,,,,,,0
GMB,"Gambia, The",1.5069,72.8135,30.174,0.192728035,0.07019,0.136875,8022.376166,,0.002155694,Sub-Saharan Africa,35.9,1.20609,51.79055,0.70924,30.45519,0.24469,10.50738,1.91533,82.24574,2.16002,92.75312,0,,,,,,,,,,,,,,,,0
GNB,Guinea-Bissau,0.8078,72.6682,,0,0.02453,,4463.629091,,0.057055035,Sub-Saharan Africa,50.7,1.3737,40.08734,0.64922,18.94543,0.08313,2.42583,2.02292,59.03277,2.10605,61.4586,0,,,,,,,,,,,,,,,,0
GNQ,Equatorial Guinea,1.282,45.53027,,0.178143082,0.01262,,47239.50805,,-0.145731386,Sub-Saharan Africa,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
GRC,Greece,3.618,97.96092,65.934,2.402293283,1.577980018,5.3787,64998.94419,32.22722639,0.001496478,Europe & Central Asia,34.4,1.17909,3688.71566,1.34914,4220.70517,0.62,1939.64049,2.52823,7909.42083,3.14823,9849.06132,1,4698.006174,5726.162716,2815.46641,,,478.72003,3.13967857,2.5278979,0.61178067,,,0.11544763,,,11.324527,1
GRD,Grenada,,98.54343,,0,1.189700007,4.30986,23716.5216,,0.032953261,Latin America & Caribbean,,0.99403,17.87361,0.8688,15.62195,0.43101,7.75004,1.86283,33.49556,2.29384,41.2456,0,,,,,,,,,,,,,,,,1
GTM,Guatemala,0.8164,91.03266,29.996,0.152332327,0.01424,1.13955,17306.7654,,0.023182979,Latin America & Caribbean,48.3,1.83717,2634.84261,0.3994,572.81684,0.43164,619.05364,2.23657,3207.65945,2.66821,3826.71309,0,,,,,,,,,,,,,,,,0
GUY,Guyana,2.2793,96.28355,59.204,,0.04667,0.57435,,,,Latin America & Caribbean,,0.9724,57.10219,1.05818,62.13921,0.1611,9.46022,2.03058,119.2414,2.19168,128.70162,0,,,,,,,,,,,,,,,,0
HND,Honduras,0.5517,83.41807,30.664,0.227311725,0.01151,1.17182,10174.35314,,-0.004012369,Latin America & Caribbean,52.1,2.87287,1292.52778,1.48579,668.47201,0.87808,422.76944,4.35866,1960.99979,5.23674,2383.76923,0,,,,,,,,,,,,,,,,0
HRV,Croatia,3.5659,97.47104,92.105,0.866522454,1.537659991,3.04461,66598.82355,36.29496718,0.025320483,Europe & Central Asia,30.4,1.64654,1806.17475,,,0.8633,946.99767,,,,,0,,,,,,,,,,,,,,,,1
HTI,Haiti,0.2474,,31.044,0.170439459,0.00818,,3976.284266,,-0.003562495,Latin America & Caribbean,41.1,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
HUN,Hungary,2.788,97.48185,97.38,2.065828022,1.025240004,2.68871,59838.07494,30.88683762,0.002662075,Europe & Central Asia,30.6,0.66594,1924.77874,1.74249,5036.35983,0.80113,2315.51364,2.40843,6961.13857,3.20956,9276.65221,1,6658.849636,6254.1621,8679.97619,1138.3998,525.70465,4198.3745,3.34810123,2.6365765,0.71152473,0.57601008,0.22162209,0.35438799,26.405121,22.959789,43.612095,1
IDN,Indonesia,1.3665,95.01057,46.408,0.210746474,0.053199999,1.57323,23344.40016,11.53215937,0.029625919,East Asia & Pacific,37.8,1.52661,40035.18721,0.96743,25370.74387,0.56622,14848.97431,2.49404,65405.93108,3.06026,80254.90539,0,,,,,,,,,,,,,,,,0
IND,India,0.8138,97.07888,47.046,0.095271278,0.095670001,1.19611,15640.69755,7.388101544,0.055277467,South Asia,35.7,1.09193,63221.27789,1.58988,92052.05568,1.09676,63501.09827,2.68181,155273.3336,3.77857,218774.4318,0,,,,,,,,,,,,,,,,0
IRL,Ireland,3.5229,99.70186,83.868,7.603158229,2.578379989,3.13852,167077.8272,95.7090722,0.079825084,Europe & Central Asia,32.8,1.21354,4557.94653,1.08326,4068.65645,0.97312,3654.9789,2.2968,8626.60298,3.26992,12281.58188,1,8854.26134,8229.850819,11949.28703,1635.2052,987.6687,4844.8599,2.84857627,2.2332119,0.61536437,0.53324646,0.26801197,0.26523449,13.411688,11.785394,21.472767,1
IRN,Iran,2.1524,98.67898,66.39,0.649641592,0.587329993,2.81358,57497.86018,,-0.001233485,Middle East & North Africa,40.8,1.30822,15131.84879,1.36065,15738.28633,1.11698,12919.81953,2.66887,30870.13512,3.78585,43789.95465,0,,,,,,,,,,,,,,,,0
IRQ,Iraq,1.4659,,43.876,0.20091067,0.101280002,,68092.47938,,0.042749702,Middle East & North Africa,29.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
ISL,Iceland,3.7986,99.05651,97.78,14.65452505,4.160720038,4.00917,89210.5889,59.73796238,0.028221432,Europe & Central Asia,26.8,2.22269,424.09205,2.10578,401.78484,1.37541,262.42927,4.32847,825.87689,5.70388,1088.30616,1,13195.81295,12786.97631,14968.52796,623.57062,467.13898,1301.8558,5.5169115,4.365421,1.1514905,0.2619997,0.15949036,0.10250934,24.903545,23.88489,29.320429,1
ISR,Israel,2.4462,99.86758,87.202,3.574691895,2.202519989,3.43487,78319.22617,40.77829537,0.027976761,Middle East & North Africa,39,2.38967,8113.61085,1.86732,6340.07687,0.90322,3066.70245,4.25699,14453.68772,5.16021,17520.39017,1,7801.6611,8057.5693,6689.3862,1869.3916,1006.2172,5621.0747,5.01110739,4.2074459,0.80366149,1.20073428,0.52541955,0.67531473,24.808603,23.250818,31.579329,1
